epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,54.1084,0.79351,0.79807,1.0906,0.93266,0.92387,0.90975,0.61004,1.16855,0.9714,1.49952,0.0009605,0.0009605,0.0009605
44,55.0534,0.84129,0.91058,1.14907,0.93317,0.93107,0.91447,0.65621,1.14977,0.86355,1.49682,0.00093575,0.00093575,0.00093575
45,55.9912,0.79559,0.81313,1.08463,0.92593,0.93333,0.93129,0.65877,1.06823,0.85218,1.41487,0.000911,0.000911,0.000911
46,57.0228,0.78279,0.77431,1.07046,0.90312,0.93333,0.92476,0.65685,0.99485,0.80302,1.34415,0.00088625,0.00088625,0.00088625
47,57.9948,0.77996,0.8417,1.08471,0.9322,0.91753,0.95613,0.65609,0.98115,0.75976,1.33282,0.0008615,0.0008615,0.0008615
48,58.9868,0.71818,0.77334,1.06191,0.87313,0.91833,0.95446,0.6542,1.00475,0.74496,1.35251,0.00083675,0.00083675,0.00083675
49,59.9898,0.70404,0.74106,1.03707,1,0.855,0.95958,0.67144,1.0034,0.77766,1.33899,0.000812,0.000812,0.000812
50,60.9439,0.72297,0.7184,1.02944,1,0.86303,0.96633,0.66936,1.02268,0.81078,1.33027,0.00078725,0.00078725,0.00078725
51,61.9191,0.72796,0.80281,1.03984,1,0.86058,0.96716,0.73174,1.01917,0.82216,1.28507,0.0007625,0.0007625,0.0007625
52,62.9512,0.69658,0.7471,1.02647,0.96469,0.93333,0.98237,0.71628,1.01171,0.77871,1.28152,0.00073775,0.00073775,0.00073775
53,63.9482,0.70144,0.72228,1.04079,1,0.92543,0.97786,0.71745,1.01267,0.80679,1.28602,0.000713,0.000713,0.000713
54,64.9023,0.69361,0.75452,1.03035,0.99215,0.86667,0.96633,0.7395,0.97973,0.78703,1.27077,0.00068825,0.00068825,0.00068825
55,65.8491,0.70617,0.72234,1.04131,0.99343,0.86667,0.98033,0.74286,0.95157,0.77934,1.27955,0.0006635,0.0006635,0.0006635
56,66.8305,0.69442,0.7277,1.06435,0.92308,1,0.98688,0.72304,0.94086,0.78025,1.30085,0.00063875,0.00063875,0.00063875
57,67.8012,0.73383,0.80163,1.10021,0.88056,0.98377,0.98327,0.74075,0.91544,0.751,1.26129,0.000614,0.000614,0.000614
58,68.7411,0.70367,0.72316,1.0348,0.99352,0.93333,0.985,0.76114,0.91171,0.67369,1.23106,0.00058925,0.00058925,0.00058925
59,69.7044,0.69668,0.72421,1.03775,0.92524,0.93333,0.98327,0.73415,0.90541,0.67695,1.17846,0.0005645,0.0005645,0.0005645
60,70.849,0.71042,0.79482,1.07122,0.9948,0.93333,0.985,0.76575,0.91585,0.6768,1.1953,0.00053975,0.00053975,0.00053975
61,71.8865,0.72273,0.72379,1.02082,1,0.99264,0.995,0.75248,0.93202,0.71385,1.2352,0.000515,0.000515,0.000515
62,73.1809,0.77036,0.82618,1.07012,1,0.99204,0.995,0.75129,0.94995,0.70205,1.24139,0.00049025,0.00049025,0.00049025
63,74.3481,0.6837,0.77301,1.02269,1,0.98936,0.995,0.72999,0.94255,0.71083,1.23246,0.0004655,0.0004655,0.0004655
64,75.7146,0.63536,0.66475,1.0054,0.99008,0.86667,0.96763,0.71282,0.93743,0.74362,1.2628,0.00044075,0.00044075,0.00044075
65,76.7607,0.63163,0.66538,1.01779,0.99243,0.86667,0.92213,0.68131,0.94937,0.75939,1.26249,0.000416,0.000416,0.000416
66,78.0554,0.67917,0.69883,1.02378,0.99286,0.86667,0.9625,0.70894,0.9266,0.75509,1.23504,0.00039125,0.00039125,0.00039125
67,79.2268,0.6354,0.73216,1.05299,0.99064,0.86667,0.9623,0.72554,0.91889,0.73458,1.21034,0.0003665,0.0003665,0.0003665
68,80.5211,0.65166,0.63653,1.03103,0.99463,0.86667,0.97333,0.75189,0.85926,0.70291,1.15054,0.00034175,0.00034175,0.00034175
69,81.758,0.68494,0.69851,1.04091,0.93253,0.92215,0.98688,0.78574,0.83767,0.70553,1.13281,0.000317,0.000317,0.000317
70,83.0719,0.60845,0.65636,0.99917,0.98565,0.86667,0.98033,0.79235,0.83602,0.70647,1.13493,0.00029225,0.00029225,0.00029225
71,89.6447,0.44507,0.66979,0.87395,1,0.92754,0.985,0.77095,0.84377,0.71092,1.16572,0.0002675,0.0002675,0.0002675
72,90.8814,0.47135,0.6775,0.92408,0.98969,0.93333,0.98794,0.78003,0.83446,0.70293,1.18018,0.00024275,0.00024275,0.00024275
73,91.9829,0.44386,0.61267,0.88501,0.98904,0.93333,0.99125,0.80002,0.8366,0.70904,1.18352,0.000218,0.000218,0.000218
74,92.9481,0.43213,0.61571,0.86835,0.93144,1,0.99125,0.79637,0.81315,0.70385,1.16886,0.00019325,0.00019325,0.00019325
75,94.1559,0.45242,0.61624,0.91269,0.93011,1,0.99125,0.78337,0.80258,0.69912,1.15997,0.0001685,0.0001685,0.0001685
76,95.179,0.40973,0.59467,0.85484,0.92689,1,0.99125,0.79527,0.8001,0.70374,1.15172,0.00014375,0.00014375,0.00014375
77,96.1722,0.41593,0.5868,0.88373,0.93127,1,0.99125,0.80629,0.80284,0.70933,1.15424,0.000119,0.000119,0.000119
78,97.107,0.385,0.58578,0.88867,0.9337,1,0.99125,0.80115,0.82751,0.70281,1.17574,9.425e-05,9.425e-05,9.425e-05
79,98.0747,0.40596,0.63033,0.87953,0.93515,1,0.99125,0.79941,0.83654,0.70361,1.18536,6.95e-05,6.95e-05,6.95e-05
80,99.3242,0.39731,0.5934,0.83399,0.93694,1,0.99125,0.80292,0.83604,0.69597,1.19095,4.475e-05,4.475e-05,4.475e-05
